filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,quantidade,preco_unitario,desconto,forma_pagamento,vendedor
FIL005,2026-06-16 02:55:00,,7891234567890,Dipirona 500mg 20cp,4,-8.5,0.0,CREDITO,Eduarda Lima
FIL005,2026-06-16 02:28:00,345.678.901-23,7891234567897,Sabonete Dove 90g,1,4.2,2.19,DINHEIRO,Fernando Souza
FIL005,2026-06-15 17:01:00,123.456.789-01,7891234567897,Sabonete Dove 90g,2,4.2,0.0,DINHEIRO,Ana Silva
FIL005,2026-06-16 05:58:00,345.678.901-23,7891234567893,Buscopan Composto 20cp,1,32.4,0.0,CREDITO,Fernando Souza
FIL005,2026-06-16 00:45:00,890.123.456-78,7891234567894,Loratadina 10mg 12cp,3,15.8,0.0,CREDITO,Eduarda Lima
FIL005,2026-06-15 22:12:00,789.012.345-67,7891234567892,Omeprazol 20mg 30cp,2,24.9,0.0,PIX,Eduarda Lima
FIL005,2026-06-16 05:00:00,012.345.678-90,7891234567894,Loratadina 10mg 12cp,3,15.8,2.45,DEBITO,Bruno Santos
FIL005,2026-06-16 00:30:00,901.234.567-89,7891234567897,Sabonete Dove 90g,3,4.2,0.0,DEBITO,Carla Oliveira
FIL005,2026-06-16 03:15:00,789.012.345-67,7891234567893,Buscopan Composto 20cp,4,32.4,0.0,DINHEIRO,Fernando Souza
FIL005,2026-06-16 03:58:00,345.678.901-23,7891234567897,Sabonete Dove 90g,-2,4.2,0.0,CREDITO,Ana Silva
FIL005,2026-06-16 00:37:00,890.123.456-78,7891234567892,Omeprazol 20mg 30cp,3,24.9,0.0,PIX,Diego Costa
FIL005,2026-06-16 03:09:00,,7891234567890,Dipirona 500mg 20cp,-3,8.5,1.33,DINHEIRO,Eduarda Lima
FIL005,2026-06-15 22:41:00,901.234.567-89,7891234567901,Vitamina C 1g 10cp efervescente,1,22.3,0.0,DEBITO,Carla Oliveira
FIL005,2026-06-16 03:56:00,,7891234567900,Whey Protein Growth 1kg,4,179.9,0.0,CONVENIO,Fernando Souza
FIL005,2026-06-15 20:14:00,234.567.890-12,7891234567900,Whey Protein Growth 1kg,1,179.9,0.0,CREDITO,Fernando Souza
FIL005,2026-06-15 16:02:00,678.901.234-56,7891234567894,Loratadina 10mg 12cp,3,15.8,0.0,PIX,Bruno Santos
FIL005,2026-06-15 22:36:00,012.345.678-90,7891234567898,Fralda Huggies Supreme G,2,89.9,3.1,DINHEIRO,Bruno Santos
FIL005,2026-06-16 01:09:00,890.123.456-78,7891234567897,Sabonete Dove 90g,-2,4.2,0.0,CREDITO,Ana Silva
FIL005,2026-06-15 20:43:00,678.901.234-56,7891234567897,Sabonete Dove 90g,-1,-4.2,1.5,PIX,Diego Costa
FIL005,2026-06-15 20:29:00,890.123.456-78,7891234567901,Vitamina C 1g 10cp efervescente,3,22.3,0.0,DINHEIRO,Diego Costa
