filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,quantidade,preco_unitario,desconto,forma_pagamento,vendedor
FIL002,2026-06-15 19:18:00,901.234.567-89,7891234567892,Omeprazol 20mg 30cp,2,24.9,0.0,PIX,Carla Oliveira
FIL002,2026-06-15 16:37:00,901.234.567-89,7891234567890,Dipirona 500mg 20cp,4,8.5,0.0,CONVENIO,Eduarda Lima
FIL002,2026-06-16 05:11:00,,7891234567891,Paracetamol 750mg 20cp,1,12.3,2.02,CONVENIO,Eduarda Lima
FIL002,2026-06-16 01:38:00,,7891234567893,Buscopan Composto 20cp,1,32.4,0.0,CONVENIO,Eduarda Lima
FIL002,2026-06-15 21:59:00,678.901.234-56,7891234567898,Fralda Huggies Supreme G,3,89.9,0.0,DINHEIRO,Diego Costa
FIL002,2026-06-16 02:41:00,234.567.890-12,7891234567892,Omeprazol 20mg 30cp,3,24.9,0.0,CREDITO,Eduarda Lima
FIL002,2026-06-15 17:04:00,678.901.234-56,7891234567899,Perfume Natura Essencial,2,145.0,4.4,CONVENIO,Carla Oliveira
FIL002,2026-06-15 18:28:00,901.234.567-89,7891234567894,Loratadina 10mg 12cp,3,15.8,0.0,CONVENIO,Eduarda Lima
FIL002,2026-06-16 02:06:00,,7891234567894,Loratadina 10mg 12cp,2,15.8,0.0,DEBITO,Eduarda Lima
FIL002,2026-06-15 20:18:00,567.890.123-45,7891234567892,Omeprazol 20mg 30cp,2,24.9,0.0,DEBITO,Carla Oliveira
FIL002,2026-06-15 17:40:00,,7891234567890,Dipirona 500mg 20cp,4,8.5,0.0,DEBITO,Bruno Santos
FIL002,2026-06-15 20:10:00,901.234.567-89,7891234567900,Whey Protein Growth 1kg,4,179.9,0.0,CONVENIO,Ana Silva
FIL002,2026-06-15 18:34:00,345.678.901-23,7891234567901,Vitamina C 1g 10cp efervescente,1,22.3,0.0,DEBITO,Ana Silva
FIL002,2026-06-15 21:57:00,456.789.012-34,7891234567894,Loratadina 10mg 12cp,1,15.8,0.0,DEBITO,Carla Oliveira
FIL002,2026-06-16 05:26:00,345.678.901-23,7891234567898,Fralda Huggies Supreme G,2,89.9,0.12,DINHEIRO,Fernando Souza
FIL002,2026-06-16 04:59:00,234.567.890-12,7891234567895,Shampoo Johnsons Baby 200ml,4,18.9,0.0,DINHEIRO,Ana Silva
FIL002,2026-06-15 19:12:00,456.789.012-34,7891234567897,Sabonete Dove 90g,4,4.2,0.0,DEBITO,Fernando Souza
FIL002,2026-06-15 22:21:00,567.890.123-45,7891234567893,Buscopan Composto 20cp,3,32.4,0.0,PIX,Eduarda Lima
FIL002,2026-06-16 02:53:00,,7891234567896,Papel Higienico Neve 12 rolos,3,28.5,0.89,PIX,Carla Oliveira
FIL002,2026-06-15 17:38:00,678.901.234-56,7891234567890,Dipirona 500mg 20cp,4,8.5,0.0,DEBITO,Eduarda Lima
FIL002,2026-06-15 22:57:00,,7891234567891,Paracetamol 750mg 20cp,2,12.3,0.0,DEBITO,Eduarda Lima
FIL002,2026-06-16 02:46:00,678.901.234-56,7891234567898,Fralda Huggies Supreme G,2,89.9,0.0,DEBITO,Fernando Souza
FIL002,2026-06-16 03:57:00,789.012.345-67,7891234567891,Paracetamol 750mg 20cp,3,12.3,0.0,CONVENIO,Fernando Souza
FIL002,2026-06-16 00:08:00,789.012.345-67,7891234567894,Loratadina 10mg 12cp,2,15.8,0.0,CREDITO,Bruno Santos
FIL002,2026-06-16 01:19:00,567.890.123-45,7891234567899,Perfume Natura Essencial,4,145.0,0.0,CONVENIO,Diego Costa
FIL002,2026-06-16 01:41:00,456.789.012-34,7891234567899,Perfume Natura Essencial,3,145.0,0.0,CREDITO,Fernando Souza
FIL002,2026-06-16 02:05:00,012.345.678-90,7891234567892,Omeprazol 20mg 30cp,3,24.9,0.0,CONVENIO,Bruno Santos
FIL002,2026-06-15 20:14:00,,7891234567900,Whey Protein Growth 1kg,2,179.9,0.0,DINHEIRO,Diego Costa
FIL002,2026-06-16 05:49:00,012.345.678-90,7891234567899,Perfume Natura Essencial,1,145.0,0.0,CREDITO,Fernando Souza
FIL002,2026-06-15 23:25:00,123.456.789-01,7891234567896,Papel Higienico Neve 12 rolos,2,28.5,4.3,DINHEIRO,Ana Silva
