filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,quantidade,preco_unitario,desconto,forma_pagamento,vendedor
FIL002,2026-06-16 16:46:00,123.456.789-01,7891234567899,Perfume Natura Essencial,3,145.0,0.0,CREDITO,Diego Costa
FIL002,2026-06-16 22:43:00,890.123.456-78,7891234567896,Papel Higienico Neve 12 rolos,1,28.5,0.0,CREDITO,Anália Silva
FIL002,2026-06-17 01:09:00,012.345.678-90,7891234567895,Shampoo Johnsons Baby 200ml,1,18.9,0.0,DINHEIRO,Carla Oliveira
FIL002,2026-06-17 01:33:00,789.012.345-67,7891234567896,Papel Higienico Neve 12 rolos,3,28.5,0.0,CREDITO,Fernando Souza
FIL002,2026-06-17 05:41:00,456.789.012-34,7891234567891,Paracetamol 750mg 20cp,2,12.3,0.0,CREDITO,Diego Costa
FIL002,2026-06-16 22:46:00,567.890.123-45,7891234567896,Papel Higienico Neve 12 rolos,1,28.5,0.0,DEBITO,Bruno Santos
FIL002,2026-06-16 23:04:00,,7891234567900,Whey Protein Growth 1kg,1,179.9,0.0,PIX,Fernando Souza
FIL002,2026-06-17 04:08:00,901.234.567-89,7891234567895,Shampoo Johnsons Baby 200ml,1,18.9,0.0,CONVENIO,Anália Silva
FIL002,2026-06-16 21:55:00,012.345.678-90,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,PIX,Anália Silva
FIL002,2026-06-17 00:13:00,234.567.890-12,7891234567899,Perfume Natura Essencial,2,145.0,0.0,CREDITO,Eduarda Lima
FIL002,2026-06-16 17:48:00,789.012.345-67,7891234567895,Shampoo Johnsons Baby 200ml,3,18.9,4.87,CONVENIO,Eduarda Lima
FIL002,2026-06-17 02:41:00,567.890.123-45,7891234567899,Perfume Natura Essencial,1,145.0,0.0,CONVENIO,Carla Oliveira
FIL002,2026-06-17 04:19:00,,7891234567901,Vitamina C 1g 10cp efervescente,3,22.3,2.83,DEBITO,Diego Costa
FIL002,2026-06-16 18:47:00,456.789.012-34,7891234567891,Paracetamol 750mg 20cp,1,12.3,0.0,PIX,Diego Costa
FIL002,2026-06-16 18:23:00,012.345.678-90,7891234567895,Shampoo Johnsons Baby 200ml,3,18.9,0.0,DEBITO,Anália Silva
FIL002,2026-06-16 18:48:00,789.012.345-67,7891234567892,Omeprazol 20mg 30cp,1,24.9,0.0,PIX,Diego Costa
FIL002,2026-06-16 20:13:00,567.890.123-45,7891234567896,Papel Higienico Neve 12 rolos,1,28.5,0.0,DEBITO,Eduarda Lima
FIL002,2026-06-17 00:42:00,012.345.678-90,7891234567897,Sabonete Dove 90g,3,4.2,0.0,PIX,Bruno Santos
FIL002,2026-06-16 19:49:00,234.567.890-12,7891234567894,Loratadina 10mg 12cp,2,15.8,0.0,DEBITO,Fernando Souza
FIL002,2026-06-16 18:08:00,901.234.567-89,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,CONVENIO,Fernando Souza
