filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,quantidade,preco_unitario,desconto,forma_pagamento,vendedor
FIL004,15/06/2026 23:17,456.789.012-34,7891234567901,Vitamina C 1g 10cp efervescente,3,22.3,0.0,DEBITO,Fernando Souza
FIL004,16/06/2026 04:44,890.123.456-78,7891234567898,Fralda Huggies Supreme G,2,89.9,0.0,DINHEIRO,Eduarda Lima
FIL004,16/06/2026 01:18,678.901.234-56,7891234567898,Fralda Huggies Supreme G,1,89.9,0.0,DINHEIRO,Ana Silva
FIL004,16/06/2026 00:08,901.234.567-89,7891234567901,Vitamina C 1g 10cp efervescente,3,22.3,0.0,PIX,Bruno Santos
FIL004,16/06/2026 05:48,012.345.678-90,7891234567900,Whey Protein Growth 1kg,4,179.9,0.0,PIX,Diego Costa
FIL004,15/06/2026 21:11,890.123.456-78,7891234567897,Sabonete Dove 90g,1,4.2,0.0,DEBITO,Ana Silva
FIL004,15/06/2026 23:04,,7891234567896,Papel Higienico Neve 12 rolos,1,28.5,0.0,DINHEIRO,Carla Oliveira
FIL004,15/06/2026 19:07,012.345.678-90,7891234567891,Paracetamol 750mg 20cp,4,12.3,0.0,CONVENIO,Eduarda Lima
FIL004,15/06/2026 23:58,789.012.345-67,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,DEBITO,Eduarda Lima
FIL004,16/06/2026 01:47,567.890.123-45,7891234567890,Dipirona 500mg 20cp,1,8.5,0.0,DINHEIRO,Bruno Santos
FIL004,15/06/2026 18:35,,7891234567893,Buscopan Composto 20cp,1,32.4,0.0,DINHEIRO,Eduarda Lima
FIL004,15/06/2026 20:02,890.123.456-78,7891234567897,Sabonete Dove 90g,2,4.2,0.0,DEBITO,Bruno Santos
FIL004,16/06/2026 04:50,,7891234567894,Loratadina 10mg 12cp,2,15.8,0.0,CREDITO,Bruno Santos
FIL004,16/06/2026 05:09,567.890.123-45,7891234567894,Loratadina 10mg 12cp,1,15.8,0.0,PIX,Eduarda Lima
FIL004,15/06/2026 23:07,567.890.123-45,7891234567894,Loratadina 10mg 12cp,4,15.8,0.0,DEBITO,Diego Costa
FIL004,15/06/2026 17:38,012.345.678-90,7891234567897,Sabonete Dove 90g,1,4.2,0.0,CREDITO,Ana Silva
FIL004,16/06/2026 02:53,345.678.901-23,7891234567893,Buscopan Composto 20cp,1,32.4,0.0,DEBITO,Fernando Souza
FIL004,15/06/2026 20:11,890.123.456-78,7891234567897,Sabonete Dove 90g,4,4.2,0.0,CREDITO,Carla Oliveira
FIL004,16/06/2026 02:06,890.123.456-78,7891234567895,Shampoo Johnsons Baby 200ml,2,18.9,0.0,DEBITO,Diego Costa
FIL004,15/06/2026 16:29,234.567.890-12,7891234567898,Fralda Huggies Supreme G,1,89.9,2.02,DEBITO,Eduarda Lima
