filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,quantidade,preco_unitario,desconto,forma_pagamento,vendedor
FIL001,2026-06-15 17:01:00,234.567.890-12,7891234567900,Whey Protein Growth 1kg,3,179.9,0.0,DINHEIRO,Eduarda Lima
FIL001,2026-06-16 01:27:00,,7891234567891,Paracetamol 750mg 20cp,1,12.3,0.0,PIX,Eduarda Lima
FIL001,2026-06-16 00:12:00,567.890.123-45,7891234567890,Dipirona 500mg 20cp,4,8.5,0.03,DINHEIRO,Bruno Santos
FIL001,2026-06-15 22:21:00,678.901.234-56,7891234567901,Vitamina C 1g 10cp efervescente,3,22.3,0.0,DINHEIRO,Diego Costa
FIL001,2026-06-15 21:54:00,123.456.789-01,7891234567891,Paracetamol 750mg 20cp,3,12.3,2.68,CONVENIO,Diego Costa
FIL001,2026-06-16 00:18:00,234.567.890-12,7891234567891,Paracetamol 750mg 20cp,3,12.3,0.0,CONVENIO,Bruno Santos
FIL001,2026-06-15 17:54:00,890.123.456-78,7891234567894,Loratadina 10mg 12cp,2,15.8,0.0,PIX,Carla Oliveira
FIL001,2026-06-15 21:22:00,234.567.890-12,7891234567892,Omeprazol 20mg 30cp,2,24.9,0.0,DEBITO,Bruno Santos
FIL001,2026-06-16 03:15:00,901.234.567-89,7891234567898,Fralda Huggies Supreme G,2,89.9,0.0,CREDITO,Carla Oliveira
FIL001,2026-06-15 19:52:00,234.567.890-12,7891234567890,Dipirona 500mg 20cp,1,8.5,0.0,DEBITO,Eduarda Lima
FIL001,2026-06-15 21:13:00,890.123.456-78,7891234567901,Vitamina C 1g 10cp efervescente,4,22.3,0.0,CREDITO,Bruno Santos
FIL001,2026-06-16 03:35:00,012.345.678-90,7891234567893,Buscopan Composto 20cp,3,32.4,0.0,CONVENIO,Bruno Santos
FIL001,2026-06-16 00:31:00,345.678.901-23,7891234567892,Omeprazol 20mg 30cp,1,24.9,0.0,PIX,Fernando Souza
FIL001,2026-06-16 01:04:00,890.123.456-78,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,CREDITO,Eduarda Lima
FIL001,2026-06-16 02:46:00,678.901.234-56,7891234567890,Dipirona 500mg 20cp,1,8.5,0.0,CONVENIO,Diego Costa
FIL001,2026-06-15 23:00:00,901.234.567-89,7891234567892,Omeprazol 20mg 30cp,3,24.9,4.35,CONVENIO,Carla Oliveira
FIL001,2026-06-16 00:38:00,345.678.901-23,7891234567900,Whey Protein Growth 1kg,2,179.9,0.0,DINHEIRO,Eduarda Lima
FIL001,2026-06-16 01:20:00,,7891234567890,Dipirona 500mg 20cp,4,8.5,0.0,PIX,Carla Oliveira
FIL001,2026-06-15 16:15:00,234.567.890-12,7891234567893,Buscopan Composto 20cp,1,32.4,2.66,PIX,Bruno Santos
FIL001,2026-06-16 02:30:00,012.345.678-90,7891234567892,Omeprazol 20mg 30cp,2,24.9,0.0,DEBITO,Bruno Santos
FIL001,2026-06-16 04:46:00,678.901.234-56,7891234567898,Fralda Huggies Supreme G,2,89.9,0.0,DEBITO,Eduarda Lima
FIL001,2026-06-15 17:15:00,012.345.678-90,7891234567897,Sabonete Dove 90g,2,4.2,0.0,PIX,Eduarda Lima
FIL001,2026-06-15 16:04:00,,7891234567893,Buscopan Composto 20cp,1,32.4,0.0,DINHEIRO,Carla Oliveira
FIL001,2026-06-16 00:15:00,345.678.901-23,7891234567891,Paracetamol 750mg 20cp,3,12.3,4.41,CREDITO,Eduarda Lima
FIL001,2026-06-15 19:50:00,234.567.890-12,7891234567897,Sabonete Dove 90g,4,4.2,0.0,CREDITO,Carla Oliveira
FIL001,2026-06-15 22:29:00,,7891234567896,Papel Higienico Neve 12 rolos,1,28.5,4.0,PIX,Ana Silva
FIL001,2026-06-15 19:12:00,567.890.123-45,7891234567893,Buscopan Composto 20cp,4,32.4,0.0,DINHEIRO,Ana Silva
FIL001,2026-06-16 04:55:00,901.234.567-89,7891234567897,Sabonete Dove 90g,1,4.2,4.84,PIX,Bruno Santos
FIL001,2026-06-15 22:31:00,123.456.789-01,7891234567892,Omeprazol 20mg 30cp,4,24.9,0.0,DINHEIRO,Ana Silva
FIL001,2026-06-15 20:59:00,901.234.567-89,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,DEBITO,Diego Costa
