filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,quantidade,preco_unitario,desconto,forma_pagamento,vendedor
FIL003,2026-06-15 19:11:00,234.567.890-12,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,PIX,Diego Costa
FIL003,2026-06-16 00:35:00,901.234.567-89,7891234567900,Whey Protein Growth 1kg,3,179.9,0.0,CREDITO,Eduarda Lima
FIL003,2026-06-15 18:47:00,456.789.012-34,7891234567897,Sabonete Dove 90g,4,4.2,1.39,CREDITO,Eduarda Lima
FIL003,2026-06-16 02:15:00,,7891234567897,Sabonete Dove 90g,3,4.2,0.0,CREDITO,Carla Oliveira
FIL003,2026-06-15 21:57:00,789.012.345-67,7891234567895,Shampoo Johnsons Baby 200ml,1,18.9,0.0,DINHEIRO,Fernando Souza

FIL003,2026-06-15 17:26:00,789.012.345-67,7891234567893,Buscopan Composto 20cp,4,32.4,0.0,DEBITO,Diego Costa
FIL003,2026-06-16 04:37:00,123.456.789-01,7891234567896,Papel Higienico Neve 12 rolos,1,28.5,1.49,CONVENIO,Diego Costa
FIL003,2026-06-16 00:47:00,789.012.345-67,7891234567896,Papel Higienico Neve 12 rolos,2,28.5,0.0,CREDITO,Diego Costa
FIL003,2026-06-16 02:43:00,345.678.901-23,7891234567895,Shampoo Johnsons Baby 200ml,4,18.9,2.67,DINHEIRO,Diego Costa
FIL003,2026-06-16 01:42:00,345.678.901-23,7891234567899,Perfume Natura Essencial,1,145.0,0.91,PIX,Carla Oliveira

FIL003,2026-06-15 21:13:00,789.012.345-67,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,DEBITO,Diego Costa
FIL003,2026-06-16 05:05:00,123.456.789-01,7891234567894,Loratadina 10mg 12cp,4,15.8,1.75,PIX,Fernando Souza
FIL003,2026-06-16 04:41:00,456.789.012-34,7891234567891,Paracetamol 750mg 20cp,1,12.3,3.11,PIX,Bruno Santos
FIL003,2026-06-15 23:42:00,890.123.456-78,7891234567892,Omeprazol 20mg 30cp,1,24.9,0.0,CONVENIO,Carla Oliveira
FIL003,2026-06-16 01:38:00,234.567.890-12,7891234567892,Omeprazol 20mg 30cp,1,24.9,0.0,DINHEIRO,Carla Oliveira

FIL003,2026-06-16 02:58:00,456.789.012-34,7891234567899,Perfume Natura Essencial,4,145.0,0.0,CREDITO,Fernando Souza
FIL003,2026-06-15 19:06:00,012.345.678-90,7891234567900,Whey Protein Growth 1kg,3,179.9,1.74,CONVENIO,Diego Costa
FIL003,2026-06-15 21:04:00,890.123.456-78,7891234567900,Whey Protein Growth 1kg,3,179.9,0.0,PIX,Carla Oliveira
FIL003,2026-06-16 05:29:00,901.234.567-89,7891234567900,Whey Protein Growth 1kg,2,179.9,1.35,CREDITO,Eduarda Lima
FIL003,2026-06-15 23:27:00,234.567.890-12,7891234567897,Sabonete Dove 90g,3,4.2,0.0,DEBITO,Diego Costa

FIL003,2026-06-16 04:29:00,,7891234567893,Buscopan Composto 20cp,4,32.4,0.91,DEBITO,Bruno Santos
FIL003,2026-06-16 04:16:00,567.890.123-45,7891234567895,Shampoo Johnsons Baby 200ml,3,18.9,0.0,DEBITO,Eduarda Lima
FIL003,2026-06-15 17:15:00,456.789.012-34,7891234567893,Buscopan Composto 20cp,4,32.4,0.0,CREDITO,Fernando Souza
FIL003,2026-06-15 23:28:00,789.012.345-67,7891234567901,Vitamina C 1g 10cp efervescente,1,22.3,0.0,PIX,Carla Oliveira
FIL003,2026-06-16 01:23:00,789.012.345-67,7891234567900,Whey Protein Growth 1kg,4,179.9,2.75,CONVENIO,Carla Oliveira

