filial_codigo,data_venda,cliente_cpf,produto_codigo,produto_nome,quantidade,preco_unitario,desconto,forma_pagamento,vendedor
FIL003,2026-06-16 17:25:00,,7891234567895,Shampoo Johnsons Baby 200ml,1,18.9,4.31,CREDITO,Eduarda Lima
FIL003,2026-06-17 01:25:00,,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,DEBITO,Carla Oliveira
FIL003,2026-06-17 04:39:00,,7891234567892,Omeprazol 20mg 30cp,4,24.9,1.22,DEBITO,Eduarda Lima
FIL003,2026-06-17 00:05:00,456.789.012-34,7891234567896,Papel Higienico Neve 12 rolos,4,28.5,0.0,DEBITO,Bruno Santos
FIL003,2026-06-17 00:40:00,678.901.234-56,7891234567891,Paracetamol 750mg 20cp,1,12.3,0.0,CHEQUE,Fernando Souza
FIL003,2026-06-16 19:06:00,012.345.678-90,7891234567892,Omeprazol 20mg 30cp,2,24.9,0.0,DEBITO,Fernando Souza
FIL003,2026-06-16 18:49:00,012.345.678-90,7891234567891,Paracetamol 750mg 20cp,4,12.3,0.0,BOLETO,Eduarda Lima
FIL003,2026-06-17 02:39:00,234.567.890-12,7891234567900,Whey Protein Growth 1kg,3,179.9,0.0,BOLETO,Fernando Souza
FIL003,2026-06-17 04:17:00,567.890.123-45,7891234567894,Loratadina 10mg 12cp,1,15.8,0.0,DEBITO,Ana Silva
FIL003,2026-06-16 21:53:00,234.567.890-12,7891234567890,Dipirona 500mg 20cp,3,8.5,0.0,PIX,Eduarda Lima
FIL003,2026-06-16 23:37:00,012.345.678-90,7891234567896,Papel Higienico Neve 12 rolos,1,28.5,0.0,CREDITO,Carla Oliveira
FIL003,2026-06-16 23:32:00,678.901.234-56,7891234567899,Perfume Natura Essencial,2,145.0,0.42,PIX,Fernando Souza
FIL003,2026-06-16 16:15:00,012.345.678-90,7891234567892,Omeprazol 20mg 30cp,4,24.9,0.0,CREDITO,Carla Oliveira
FIL003,2026-06-16 22:26:00,,7891234567894,Loratadina 10mg 12cp,3,15.8,0.0,CONVENIO,Carla Oliveira
FIL003,2026-06-16 21:06:00,012.345.678-90,7891234567891,Paracetamol 750mg 20cp,4,12.3,1.67,DEBITO,Eduarda Lima
FIL003,2026-06-16 18:58:00,789.012.345-67,7891234567900,Whey Protein Growth 1kg,3,179.9,0.0,DEBITO,Fernando Souza
FIL003,2026-06-16 20:35:00,901.234.567-89,7891234567891,Paracetamol 750mg 20cp,4,12.3,0.0,DEBITO,Fernando Souza
FIL003,2026-06-17 00:23:00,456.789.012-34,7891234567896,Papel Higienico Neve 12 rolos,1,28.5,0.0,DEBITO,Diego Costa
